GuessWord,Max,Median,Average
saics,1182,493.0,404.9365010799136
saids,1240,501.0,431.71187904967604
saiga,1190,543.0,396.4371490280777
sails,1197,450.0,386.7965442764579
saims,1241,537.0,452.93477321814254
saine,871,179.0,229.96371490280777
sains,1195,478.0,399.5723542116631
sairs,1192,350.0,354.2781857451404
saist,1151,470.0,351.9844492440605
saith,1031,395.0,352.09978401727864
sajou,1350,421.0,493.0634989200864
sakai,1223,582.0,500.25961123110153
saker,1268,295.0,346.76501079913606
sakes,1282,447.0,443.37365010799135
sakia,1180,582.0,467.03887688984884
sakis,1334,582.0,520.5511879049676
sakti,1243,425.0,459.1105831533477
salal,1198,727.0,482.317494600432
salat,988,493.0,356.6462203023758
salep,1177,285.0,327.60561555075594
sales,1173,344.0,353.06004319654426
salet,1048,221.0,250.94470842332615
salic,1183,350.0,375.1637149028078
salix,1452,444.0,448.60345572354214
salle,1069,344.0,313.2410367170626
salmi,1375,377.0,424.9766738660907
salol,1109,433.0,391.0133909287257
salop,1118,359.0,391.0328293736501
salpa,1145,611.0,479.6501079913607
salps,1341,611.0,523.8712742980562
salse,1131,344.0,312.60518358531317
salto,1262,341.0,343.1460043196544
salts,1291,493.0,439.8539956803456
salue,1093,218.0,265.4829373650108
salut,1200,360.0,344.63974082073435
saman,1141,627.0,458.16025917926567
samas,1291,875.0,569.1688984881209
samba,1403,751.0,570.5745140388769
sambo,1404,465.0,496.8518358531318
samek,1275,371.0,387.0760259179266
samel,1168,284.0,318.52570194384447
samen,1140,280.0,323.17580993520517
sames,1215,416.0,408.2760259179266
samey,1132,287.0,310.458747300216
samfu,1448,566.0,558.4095032397408
sammy,1236,692.0,535.1196544276457
sampi,1394,465.0,500.05788336933045
samps,1376,754.0,614.6047516198704
sands,1312,568.0,482.26652267818577
saned,1087,272.0,299.12656587473003
sanes,1163,348.0,349.3503239740821
sanga,1272,630.0,473.23282937365013
sangh,1279,507.0,449.695464362851
sango,1312,398.0,420.37710583153347
sangs,1313,630.0,518.513606911447
sanko,1409,430.0,445.8574514038877
sansa,1317,739.0,475.99697624190065
santo,1252,318.0,353.34902807775376
sants,1280,516.0,442.77105831533476
saola,953,433.0,340.2401727861771
sapan,1232,616.0,449.8043196544277
sapid,1269,420.0,408.5887688984881
sapor,1245,321.0,352.2643628509719
saran,1184,408.0,351.81295896328294
sards,1313,467.0,447.41727861771056
sared,1087,257.0,286.7987041036717
saree,794,156.0,230.63585313174946
sarge,1095,262.0,286.4133909287257
